usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
080440,99999,2019-10-06,42.438,-8.616,108.0,120.0,1.0,17.6,1015.8,,,,6.0,9999.0,,PONTEVEDRA,SP,080440-99999,2019,14,1.0
039780,99999,2019-10-06,54.483,-8.233,35.0,60.0,1.0,11.9,1027.7,,,,6.0,0.0,,FINNER,EI,039780-99999,2019,14,1.0
336580,99999,2019-10-06,48.259,25.981,252.0,300.0,2.0,16.0,,,,,,,,CHERNIVTSI,UP,336580-99999,2019,14,1.0
984330,99999,2019-10-06,14.583,121.367,651.0,150.0,1.0,23.8,1007.8,OBS,45.0,4.0,24.0,56.0,,TANAY,RP,984330-99999,2019,14,1.0
722010,12836,2019-10-06,24.55,-81.75,5.0,100.0,5.7,29.4,1017.4,FEW,,,6.0,5.0,,KEY WEST INTERNATIONAL AIRPORT,US,722010-12836,2019,14,1.0
967495,99999,2019-10-06,-6.267,106.891,26.0,0.0,0.0,25.0,,,5.0,,,,,HALIM PERDANAKUSUMA INTL,ID,967495-99999,2019,14,1.0
485740,99999,2019-10-06,6.8,100.383,25.0,0.0,0.0,22.9,1010.1,FEW,,,,,,SA-DAO,TH,485740-99999,2019,14,1.0
076470,99999,2019-10-06,43.517,4.917,24.0,340.0,9.8,24.4,1010.3,,0.0,,6.0,0.0,,LE TUBE,FR,076470-99999,2019,14,1.0
274530,99999,2019-10-06,56.683,43.433,103.0,,,11.4,1009.8,BKN,,,,,,GORODEC,RS,274530-99999,2019,14,1.0
222350,99999,2019-10-06,67.35,37.05,156.0,20.0,1.0,5.3,1012.9,OVC,,,,,,KRASNOSCEL'E,RS,222350-99999,2019,14,1.0
685920,99999,2019-10-06,-29.617,31.117,109.0,330.0,1.5,13.1,1022.5,,10.0,4.0,,,,KING SHAKA INTL AIRPORT,SF,685920-99999,2019,14,1.0
942870,99999,2019-10-06,-16.886,145.755,3.0,160.0,5.7,23.0,,CLR,,,,,,CAIRNS INTL,AS,942870-99999,2019,14,1.0
942870,99999,2019-10-06,-16.883,145.75,8.0,160.0,5.7,23.3,1019.1,,,,,,,CAIRNS INTL,AS,942870-99999,2019,14,1.0
960010,99999,2019-10-06,5.867,95.317,126.0,290.0,4.1,26.0,1011.9,BKN,17.0,9.0,,,,MAIMUN SALEH,ID,960010-99999,2019,14,1.0
913560,00493,2019-10-06,5.333,163.033,4.0,360.0,2.6,31.1,1009.5,BKN,2.0,8.0,24.0,3.0,,KOSRAE,FM,913560-00493,2019,14,1.0
722140,93805,2019-10-06,30.446,-84.299,53.0,170.0,2.6,30.0,1018.5,BKN,,,,,,TALLAHASSEE REGIONAL AIRPORT,US,722140-93805,2019,14,1.0
064490,99999,2019-10-06,50.454,4.442,192.0,20.0,3.0,13.0,1021.2,SCT,,,24.0,9999.0,,BRUSSELS SOUTH,BE,064490-99999,2019,14,1.0
151240,99999,2019-10-06,46.886,24.645,449.0,0.0,0.0,14.0,1010.5,,,,6.0,9999.0,,BATOS,RO,151240-99999,2019,14,1.0
878280,99999,2019-10-06,-43.2,-65.267,39.0,340.0,3.1,4.3,1012.5,,2.0,8.0,6.0,0.0,,ALMIRANTE ZAR,AR,878280-99999,2019,14,1.0
685920,99999,2019-10-06,-29.617,31.133,127.0,,0.5,10.0,,CLR,10.0,,,,,KING SHAKA INTL AIRPORT,SF,685920-99999,2019,14,1.0
722200,12832,2019-10-06,29.733,-85.033,6.0,150.0,3.6,29.4,1018.2,SCT,,,,,,APALACHICOLA MUNI AIRPORT,US,722200-12832,2019,14,1.0
713240,99999,2019-10-06,44.62,-63.42,30.0,200.0,5.7,15.6,1011.3,,,,,,,OSBORNE HEAD DND,CA,713240-99999,2019,14,1.0
221650,99999,2019-10-06,68.65,43.3,49.0,330.0,5.0,5.1,1010.7,,47.0,5.0,,,,KANIN NOS,RS,221650-99999,2019,14,1.0
485810,99999,2019-10-06,6.517,101.283,36.0,250.0,2.6,24.3,1010.6,BKN,10.0,2.0,24.0,497.0,,YALA AGROMET,TH,485810-99999,2019,14,1.0
024530,99999,2019-10-06,60.717,17.167,16.0,,,6.4,,,,,1.0,0.0,,GAVLE/SANDVIKEN AIR FORCE BASE,SW,024530-99999,2019,14,1.0
272960,99999,2019-10-06,58.1,49.917,177.0,,,9.8,1009.4,,10.0,1.0,,,,KUMENY,RS,272960-99999,2019,14,1.0
