usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
837680,99999,2019-10-02,-23.334,-51.13,569.0,130.0,2.6,18.0,,,,,,,,LONDRINA,BR,837680-99999,2019,10,1.0
074860,99999,2019-10-02,45.367,5.333,386.0,290.0,2.1,17.8,1014.7,,0.0,,6.0,0.0,,SAINT GEOIRS,FR,074860-99999,2019,10,1.0
869500,99999,2019-10-02,-27.89,-54.48,273.0,154.0,0.3,12.5,1021.7,,,,99.0,9999.0,,SANTA ROSA,BR,869500-99999,2019,10,1.0
074860,99999,2019-10-02,45.363,5.329,397.0,290.0,2.1,18.0,,,,,,,,SAINT GEOIRS,FR,074860-99999,2019,10,1.0
784860,99999,2019-10-02,18.433,-69.883,14.0,130.0,2.0,28.2,1017.7,SCT,,,,,,SANTO DOMINGO,DR,784860-99999,2019,10,1.0
716750,99999,2019-10-02,53.817,-89.883,222.0,70.0,2.6,21.1,1010.6,OVC,,,24.0,32.0,,BIG TROUT LAKE,CA,716750-99999,2019,10,1.0
716750,99999,2019-10-02,53.833,-89.867,224.0,70.0,2.1,21.0,1010.6,,,,,,,BIG TROUT LAKE,CA,716750-99999,2019,10,1.0
711960,99999,2019-10-02,45.867,-77.25,162.0,90.0,2.1,26.9,1015.6,,,,24.0,0.0,,PEMBROKE CLIMATE,CA,711960-99999,2019,10,1.0
161790,99999,2019-10-02,43.517,12.733,574.0,230.0,2.6,19.2,,,,,6.0,2.0,,FRONTONE,IT,161790-99999,2019,10,1.0
485570,99999,2019-10-02,8.433,99.517,30.0,0.0,0.0,24.7,1010.6,SCT,10.0,0.0,,,,CHAWANG,TH,485570-99999,2019,10,1.0
073790,99999,2019-10-02,46.417,4.017,242.0,330.0,1.0,13.5,1017.5,,0.0,,6.0,0.0,,SAINT YAN,FR,073790-99999,2019,10,1.0
289160,99999,2019-10-02,52.933,54.75,190.0,200.0,1.0,17.2,1003.1,OVC,2.0,9.0,,,,SARLYK,RS,289160-99999,2019,10,1.0
319600,99999,2019-10-02,43.117,131.933,183.0,160.0,6.0,12.9,1015.4,OBS,51.0,6.0,,,,VLADIVOSTOK,RS,319600-99999,2019,10,1.0
306730,99999,2019-10-02,53.75,119.733,625.0,40.0,1.0,16.0,1010.0,,2.0,4.0,12.0,0.0,,MOGOCHA,RS,306730-99999,2019,10,1.0
061190,99999,2019-10-02,54.85,9.983,19.0,300.0,4.6,11.6,1017.9,,,,6.0,9999.0,,KEGNAES,DA,061190-99999,2019,10,1.0
381780,99999,2019-10-02,43.15,64.333,234.0,20.0,2.0,26.0,1004.8,,,,,,,AK-BAJTAL,UZ,381780-99999,2019,10,1.0
533520,99999,2019-10-02,41.7,110.433,1377.0,160.0,1.0,16.1,1006.1,BKN,,,24.0,18.0,,BAILING-MIAO,CH,533520-99999,2019,10,1.0
084330,99999,2019-10-02,37.775,-0.812,3.0,170.0,2.1,24.0,,CLR,,,,,,MURCIA SAN JAVIER,SP,084330-99999,2019,10,1.0
421820,99999,2019-10-02,28.583,77.2,211.0,0.0,0.0,29.0,994.5,OVC,10.0,2.0,21.0,4.0,,SAFDARJUNG,IN,421820-99999,2019,10,1.0
998493,99999,2019-10-02,25.295,-81.013,3.0,0.0,0.0,,,,,,,,,CLEAR WATER PASS,US,998493-99999,2019,10,1.0
293480,99999,2019-10-02,57.067,86.217,114.0,,,15.3,1002.8,OVC,80.0,9.0,12.0,220.0,,PERVOMAJSKOE,RS,293480-99999,2019,10,1.0
943410,99999,2019-10-02,-20.702,143.115,206.0,110.0,2.1,21.0,,,,,,,,RICHMOND,AS,943410-99999,2019,10,1.0
943410,99999,2019-10-02,-20.7,143.117,207.0,110.0,2.1,21.3,1019.1,,,,,,,RICHMOND,AS,943410-99999,2019,10,1.0
144540,99999,2019-10-02,43.288,17.02,49.0,70.0,2.0,22.1,1011.1,,,,,,,MAKARSKA,HR,144540-99999,2019,10,1.0
