usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
112850,99999,2019-09-27,46.817,15.233,355.0,250.0,1.0,15.7,1018.8,,,,6.0,0.0,,DEUTSCHLANDSBERG,AU,112850-99999,2019,5,1.0
896610,99999,2019-09-27,-73.517,169.75,568.0,230.0,13.4,-29.0,,,,,,,,CAPE PHILLIPS,AY,896610-99999,2019,5,1.0
933390,99999,2019-09-27,-39.433,175.65,819.0,180.0,3.6,2.7,,,,,24.0,530.0,,WAIOURU AIRSTRIP,NZ,933390-99999,2019,5,1.0
524360,99999,2019-09-27,40.267,97.033,1527.0,90.0,5.0,20.1,1001.3,FEW,,,,,,YUMENZHEN,CH,524360-99999,2019,5,1.0
516560,99999,2019-09-27,41.75,86.13,933.0,90.0,7.0,21.5,1003.0,BKN,25.0,,24.0,21.0,,KORLA,CH,516560-99999,2019,5,1.0
014480,99999,2019-09-27,58.073,8.053,9.0,321.0,4.6,11.0,1009.6,,,,,,,OKSOY FYR,NO,014480-99999,2019,5,1.0
230220,99999,2019-09-27,69.783,61.65,47.0,90.0,7.0,9.8,1002.8,BKN,80.0,8.0,,,,AMADERMA,RS,230220-99999,2019,5,1.0
417000,99999,2019-09-27,29.4,71.783,113.0,230.0,2.1,30.0,991.9,FEW,4.0,0.0,12.0,0.0,,BAHAWALPUR,PK,417000-99999,2019,5,1.0
273730,99999,2019-09-27,57.667,46.633,175.0,250.0,4.0,10.4,1001.2,OVC,2.0,5.0,,,,SAKUN'JA,RS,273730-99999,2019,5,1.0
723445,93993,2019-09-27,36.01,-94.169,9999.0,,,,,,,,,,0.0,DRAKE FIELD AIRPORT,US,723445-93993,2019,5,1.0
719500,99999,2019-09-27,54.825,-127.183,522.0,0.0,0.0,16.0,1020.1,,95.0,,,,,SMITHERS,CA,719500-99999,2019,5,1.0
415360,99999,2019-09-27,34.383,73.35,981.0,0.0,0.0,26.5,,SCT,,,12.0,0.0,,BALAKOT,PK,415360-99999,2019,5,1.0
081410,99999,2019-09-27,41.641,-4.754,735.0,320.0,1.0,20.2,1014.2,SCT,2.0,8.0,6.0,9999.0,,VALLADOLID,SP,081410-99999,2019,5,1.0
407825,99999,2019-09-27,38.25,48.283,1332.0,,,10.0,1008.0,,,,6.0,0.0,,ARDABIL,IR,407825-99999,2019,5,1.0
616970,99999,2019-09-27,12.41,-16.746,16.0,,5.1,28.0,,,,,,,,CAP SKIRING,SG,616970-99999,2019,5,1.0
868050,99999,2019-09-27,-19.357,-40.069,38.0,10.0,2.2,23.0,1013.1,,,,99.0,9999.0,,LINHARES,BR,868050-99999,2019,5,1.0
717180,99999,2019-09-27,48.6,-68.217,52.0,150.0,1.0,26.0,1013.8,SCT,,,,,,MONT JOLI A,CA,717180-99999,2019,5,1.0
720279,03705,2019-09-27,34.602,-78.578,41.0,310.0,2.1,22.4,,,65.0,,,,,CURTIS L BROWN JR FLD ARPT,US,720279-03705,2019,5,1.0
152640,99999,2019-09-27,45.7,27.2,59.0,20.0,1.0,20.3,1018.1,FEW,,,6.0,0.0,,FOCSANI,RO,152640-99999,2019,5,1.0
941530,99999,2019-09-27,-13.975,136.46,16.0,180.0,3.1,24.0,,,,,,,,GROOTE EYLANDT,AS,941530-99999,2019,5,1.0
150070,99999,2019-09-27,47.838,25.89,389.0,270.0,1.0,15.5,1019.6,,,,6.0,9999.0,,RADAUTI,RO,150070-99999,2019,5,1.0
714950,99999,2019-09-27,51.367,-114.083,1145.0,20.0,5.1,9.2,,,,,24.0,206.0,,NEIR AGDM,CA,714950-99999,2019,5,1.0
514630,99999,2019-09-27,43.8,87.65,947.0,20.0,4.0,16.7,1013.0,BKN,60.0,,24.0,14.0,,WU LU MU QI,CH,514630-99999,2019,5,1.0
027040,99999,2019-09-27,61.117,24.317,87.0,,,8.4,,,,,,,,HATTULA LEPAA AWS,FI,027040-99999,2019,5,1.0
014890,99999,2019-09-27,60.05,10.683,360.0,,,7.5,,,,,6.0,0.0,,BJORNHOLT,NO,014890-99999,2019,5,1.0
998198,99999,2019-09-27,59.433,-151.717,0.0,0.0,0.0,,1021.6,,,,,,,SELDOVIA,US,998198-99999,2019,5,1.0
405940,99999,2019-09-27,28.55,48.383,21.0,320.0,3.6,33.3,999.0,,,,,,,NUWASIB,KU,405940-99999,2019,5,1.0
969730,99999,2019-09-27,-7.05,113.967,3.0,120.0,2.1,26.4,1012.9,BKN,2.0,6.0,24.0,2.0,,KALIANGET (MADURA IS),ID,969730-99999,2019,5,1.0
714440,99999,2019-09-27,50.65,-99.93,627.0,280.0,2.6,21.9,1016.4,,,,,,,WASAGAMING  MAN,CA,714440-99999,2019,5,1.0
639710,99999,2019-09-27,-10.267,40.183,113.0,200.0,5.7,21.0,1016.0,FEW,,,,,,MTWARA,TZ,639710-99999,2019,5,1.0
655100,99999,2019-09-27,11.16,-4.331,461.0,160.0,2.1,22.0,,,,,,,,BOBO DIOULASSO,UV,655100-99999,2019,5,1.0
722052,53933,2019-09-27,36.773,-98.67,449.0,170.0,8.2,33.0,,CLR,,,,,,ALVA REGIONAL AIRPORT,US,722052-53933,2019,5,1.0
421310,99999,2019-09-27,29.167,75.733,221.0,90.0,0.5,28.0,996.1,BKN,,,,,,HISSAR,IN,421310-99999,2019,5,1.0
072350,99999,2019-09-27,47.949,0.202,59.0,40.0,2.6,20.0,,,,,,,,ARNAGE,FR,072350-99999,2019,5,1.0
027690,99999,2019-09-27,62.417,22.183,93.0,30.0,2.0,7.0,999.5,BKN,,,,,,KAUHAJOKI KUJA-KOKKO,FI,027690-99999,2019,5,1.0
715050,99999,2019-09-27,60.767,-137.583,595.0,200.0,1.0,23.8,1024.1,,,,,,,HAINES JUNCTION,CA,715050-99999,2019,5,1.0
842390,99999,2019-09-27,-2.889,-78.984,2532.0,40.0,3.1,17.0,,,,,,,,MARISCAL LAMAR,EC,842390-99999,2019,5,1.0
014030,99999,2019-09-27,59.307,4.872,55.0,2.0,7.6,10.2,1012.4,,,,,,,UTSIRA FYR,NO,014030-99999,2019,5,1.0
