usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
723710,03162,2019-09-25,36.933,-111.45,1304.0,,2.1,35.6,1003.0,,,,,,,PAGE MUNICIPAL AIRPORT,US,723710-03162,2019,3,1.0
787421,99999,2019-09-25,21.774,-72.266,5.0,40.0,1.5,29.0,,,,,,,,PROVIDENCIALES,TK,787421-99999,2019,3,1.0
713510,99999,2019-09-25,53.65,-113.35,665.0,330.0,4.6,16.1,,,,,24.0,9999.0,,OLIVER AGDM  ALTA,CA,713510-99999,2019,3,1.0
333930,99999,2019-09-25,49.817,23.95,323.0,,,12.4,1016.9,,,,,,,LVIV INTL,UP,333930-99999,2019,3,1.0
719260,99999,2019-09-25,64.299,-96.078,18.0,70.0,2.1,5.0,1006.1,,10.0,,,,,BAKER LAKE,CA,719260-99999,2019,3,1.0
026360,99999,2019-09-25,55.517,13.367,155.0,290.0,6.0,11.3,1016.6,,,,,,,STURUP,SW,026360-99999,2019,3,1.0
998182,99999,2019-09-25,29.517,-94.5,10.0,160.0,6.2,25.9,1015.4,,,,,,,ROLLOVER PASS,US,998182-99999,2019,3,1.0
338830,99999,2019-09-25,46.3,28.633,133.0,350.0,1.0,20.6,1013.6,,,,,,,KOMRAT,MD,338830-99999,2019,3,1.0
599850,99999,2019-09-25,16.533,111.617,5.0,200.0,8.0,29.7,1001.2,BKN,,,24.0,449.0,,SANHU DAO,CH,599850-99999,2019,3,1.0
222490,99999,2019-09-25,67.133,39.667,151.0,50.0,1.0,9.6,1000.2,BKN,,,,,,KANEVKA,RS,222490-99999,2019,3,1.0
947620,99999,2019-09-25,-31.067,150.833,396.0,140.0,4.6,16.5,1026.5,,,,,,,HOLSWORTHY CONTROL RANGE,AS,947620-99999,2019,3,1.0
725920,24257,2019-09-25,40.5,-122.3,153.0,160.0,4.1,32.8,1008.7,,,,,,,REDDING MUNICIPAL AIRPORT,US,725920-24257,2019,3,1.0
012710,99999,2019-09-25,63.467,10.933,53.0,220.0,8.0,6.8,1009.6,BKN,,,6.0,9999.0,,VAERNES,NO,012710-99999,2019,3,1.0
715140,99999,2019-09-25,50.433,-104.667,577.0,290.0,5.1,18.8,1012.9,,,,24.0,58.0,,REGINA RCS  SASK,CA,715140-99999,2019,3,1.0
067450,99999,2019-09-25,46.505,8.308,1346.0,47.0,0.6,12.5,,,,,6.0,5.0,,ULRICHEN,SZ,067450-99999,2019,3,1.0
713510,99999,2019-09-25,53.65,-113.35,665.0,340.0,4.6,16.1,,,,,,,,OLIVER AGDM  ALTA,CA,713510-99999,2019,3,1.0
710890,99999,2019-09-25,52.583,-110.35,644.0,320.0,6.2,18.0,,,,,24.0,0.0,,RIBSTONE SOUTH AGCM,CA,710890-99999,2019,3,1.0
010760,99999,2019-09-25,70.217,28.167,32.0,330.0,4.0,9.0,1003.6,,,,6.0,0.0,,TANABRU,NO,010760-99999,2019,3,1.0
984280,99999,2019-09-25,14.5,120.9,4.0,110.0,3.0,29.1,1010.5,SCT,5.0,6.0,24.0,1.0,,SANGLEY POINT AB,RP,984280-99999,2019,3,1.0
866640,99999,2019-09-25,-13.454,-56.677,340.0,0.0,0.0,19.7,1010.2,,,,99.0,9999.0,,SAO JOSE DO RIO CLARO,BR,866640-99999,2019,3,1.0
035020,99999,2019-09-25,52.139,-4.57,133.0,80.0,2.6,12.6,1028.3,,,,6.0,9999.0,,ABERPORTH,UK,035020-99999,2019,3,1.0
915700,99999,2019-09-25,-18.48,163.086,4.0,,,,,,,,,,,ILE SURPRISE,NC,915700-99999,2019,3,1.0
300280,99999,2019-09-25,59.283,106.167,352.0,50.0,2.0,18.6,1012.2,BKN,,,12.0,0.0,,IKA,RS,300280-99999,2019,3,1.0
714750,99999,2019-09-25,49.32,-124.93,76.0,120.0,1.5,21.4,1016.4,,,,,,,PORT ALBERNI (AUT)  BC,CA,714750-99999,2019,3,1.0
719260,99999,2019-09-25,64.299,-96.078,19.0,80.0,2.1,4.9,1006.1,BKN,71.0,7.0,24.0,84.0,,BAKER LAKE,CA,719260-99999,2019,3,1.0
915680,99999,2019-09-25,-20.233,169.767,2.0,140.0,2.1,26.0,,,,,,,,ANEITYUM,NH,915680-99999,2019,3,1.0
