usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
085150,99999,2019-09-24,36.971,-25.171,94.0,0.0,0.0,18.0,,,,,,,,SANTA MARIA,PO,085150-99999,2019,2,1.0
317020,99999,2019-09-24,49.0,131.083,257.0,190.0,1.0,19.3,1001.6,FEW,,,,,,OBLUC'E,RS,317020-99999,2019,2,1.0
262490,99999,2019-09-24,57.85,27.017,83.0,210.0,2.0,14.4,1002.0,FEW,,,3.0,0.0,,VORU,EN,262490-99999,2019,2,1.0
896110,99999,2019-09-24,-66.283,110.533,42.0,190.0,6.7,-11.5,968.4,OVC,2.0,2.0,,,,CASEY,AY,896110-99999,2019,2,1.0
719560,99999,2019-09-24,45.883,-82.567,189.0,230.0,2.1,18.0,1011.5,,,,,,,GORE BAY CLIMATE,CA,719560-99999,2019,2,1.0
113460,99999,2019-09-24,47.217,13.0,935.0,290.0,1.0,15.1,,,,,6.0,0.0,,RAURIS,AU,113460-99999,2019,2,1.0
470050,99999,2019-09-24,41.82,128.32,1386.0,140.0,1.0,11.1,,OVC,,,24.0,9999.0,,SAMJIYON,KN,470050-99999,2019,2,1.0
601500,99999,2019-09-24,33.879,-5.515,576.0,280.0,2.1,18.0,,,,,,,,BASSATINE,MO,601500-99999,2019,2,1.0
412163,99999,2019-09-24,24.51,52.335,25.0,270.0,5.1,35.0,,,,,,,,DELMA,AE,412163-99999,2019,2,1.0
431280,99999,2019-09-24,17.45,78.467,530.0,270.0,2.1,24.0,1001.9,OVC,5.0,5.0,21.0,20.0,,BEGUMPET AIRPORT,IN,431280-99999,2019,2,1.0
998242,99999,2019-09-24,43.8,-83.717,188.0,310.0,4.1,26.5,1011.2,,,,,,,SAGINAW BAY LIGHT 1,US,998242-99999,2019,2,1.0
163120,99999,2019-09-24,40.767,16.933,352.0,160.0,0.5,20.0,1015.5,,,,6.0,9999.0,,GIOIA DEL COLLE,IT,163120-99999,2019,2,1.0
601500,99999,2019-09-24,33.883,-5.533,556.0,280.0,2.1,18.2,1017.9,,,,,,,BASSATINE,MO,601500-99999,2019,2,1.0
720288,03711,2019-09-24,36.361,-78.529,161.0,0.0,0.0,25.3,,CLR,,,,,,HENDERSON-OXFORD AIRPORT,US,720288-03711,2019,2,1.0
489140,99999,2019-09-24,9.183,105.15,2.0,200.0,2.0,27.6,1008.2,BKN,,,,,,CA MAU,VM,489140-99999,2019,2,1.0
