usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
170600,99999,2019-10-01,40.982,28.821,33.0,20.0,2.6,25.5,1012.5,CLR,,,6.0,9999.0,,ATATURK,TU,170600-99999,2019,9,1.0
028280,99999,2019-10-01,60.387,22.552,6.0,,,12.0,1006.7,,,,,,0.0,KAARINA YLTOINEN,FI,028280-99999,2019,9,1.0
786376,99999,2019-10-01,16.9,-89.867,118.0,0.0,0.0,24.0,,,,,,,,MUNDO MAYA INTL ARPT,GT,786376-99999,2019,9,1.0
403730,99999,2019-10-01,28.317,46.133,358.0,330.0,3.1,32.4,998.5,,,,,,,QAISUMAH,SA,403730-99999,2019,9,1.0
014830,99999,2019-10-01,59.183,10.267,88.0,350.0,3.0,11.0,1013.7,,,,,,,TORP,NO,014830-99999,2019,9,1.0
152170,99999,2019-10-01,46.0,26.133,569.0,360.0,2.0,9.9,,,,,6.0,0.0,,TARGU SECUIESC,RO,152170-99999,2019,9,1.0
715280,99999,2019-10-01,49.9,-112.73,858.0,70.0,3.6,21.0,,,,,,,,IRON SPRINGS AGDM  ALTA,CA,715280-99999,2019,9,1.0
637560,99999,2019-10-01,-2.467,32.917,1139.0,120.0,5.1,20.4,,FEW,,,,,,MWANZA,TZ,637560-99999,2019,9,1.0
484070,99999,2019-10-01,15.251,104.87,124.0,200.0,2.1,27.0,,,,,,,,UBON RATCHATHANI,TH,484070-99999,2019,9,1.0
272830,99999,2019-10-01,58.3,48.35,127.0,150.0,1.0,10.4,1005.9,,,,,,,KOTEL'NIC,RS,272830-99999,2019,9,1.0
688430,99999,2019-10-01,-33.567,26.883,84.0,290.0,3.1,16.5,1022.5,,,,,,,PORT ALFRED AIRPORT,SF,688430-99999,2019,9,1.0
253990,99999,2019-10-01,66.15,-169.833,3.0,90.0,3.0,14.1,1017.2,BKN,,,,,,MYS UELEN,RS,253990-99999,2019,9,1.0
716440,99999,2019-10-01,49.933,-119.4,456.0,,,27.4,1010.6,,,,,,,KELOWNA UBCO,CA,716440-99999,2019,9,1.0
029200,99999,2019-10-01,63.751,22.523,2.0,77.0,5.6,10.2,1012.6,,,,,,,PIETARSAARI KALLAN,FI,029200-99999,2019,9,1.0
433520,99999,2019-10-01,9.55,76.417,4.0,0.0,0.0,24.6,1008.4,BKN,50.0,6.0,21.0,110.0,,ALAPUZHA,IN,433520-99999,2019,9,1.0
283210,99999,2019-10-01,57.717,55.383,163.0,220.0,1.0,8.5,1008.0,SCT,44.0,4.0,,,,OHANSK,RS,283210-99999,2019,9,1.0
030390,99999,2019-10-01,57.418,-5.687,773.0,150.0,5.7,8.2,,,,,,,,BEALACH NA BA NO2,UK,030390-99999,2019,9,1.0
994006,99999,2019-10-01,26.4,-81.88,3.0,250.0,2.1,27.8,1013.9,,,,,,,BIG CARLOS PASS,US,994006-99999,2019,9,1.0
039670,99999,2019-10-01,53.302,-6.451,97.0,110.0,2.1,15.0,,,58.0,,,,,CASEMENT,EI,039670-99999,2019,9,1.0
033770,99999,2019-10-01,53.175,-0.523,68.0,140.0,2.6,13.6,1022.4,,,,6.0,9999.0,,WADDINGTON,UK,033770-99999,2019,9,1.0
039670,99999,2019-10-01,53.3,-6.43,97.0,110.0,2.0,15.0,1021.1,BKN,58.0,6.0,6.0,8.0,,CASEMENT,EI,039670-99999,2019,9,1.0
353942,99999,2019-10-01,46.283,48.006,-20.0,100.0,2.0,21.0,,,,,,,,ASTRAKHAN,RS,353942-99999,2019,9,1.0
713140,99999,2019-10-01,44.48,-79.55,289.0,320.0,2.6,22.1,1017.5,,,,,,,BARRIE-ORO,CA,713140-99999,2019,9,1.0
262490,99999,2019-10-01,57.85,27.017,83.0,310.0,1.0,11.2,1002.4,BKN,,,3.0,0.0,,VORU,EN,262490-99999,2019,9,1.0
484070,99999,2019-10-01,15.25,104.867,124.0,0.0,0.0,27.0,1008.6,BKN,,,24.0,28.0,,UBON RATCHATHANI,TH,484070-99999,2019,9,1.0
620160,99999,2019-10-01,32.243,15.021,33.0,210.0,1.0,25.9,1017.0,,,,,,,MISURATA,LY,620160-99999,2019,9,1.0
402720,99999,2019-10-01,31.723,35.993,730.0,270.0,4.1,21.0,,CLR,,,,,,QUEEN ALIA INTL,JO,402720-99999,2019,9,1.0
066830,99999,2019-10-01,47.225,8.94,408.0,209.0,0.6,,,,,,,,,SCHMERIKON,SZ,066830-99999,2019,9,1.0
483540,99999,2019-10-01,17.386,102.788,176.0,,1.0,27.0,,,,,,,,UDON THANI,TH,483540-99999,2019,9,1.0
029800,99999,2019-10-01,59.967,19.95,10.0,10.0,4.0,14.1,1006.7,OVC,,,,,,LEMLAND NYHAMN,FI,029800-99999,2019,9,1.0
022070,99999,2019-10-01,63.283,12.117,583.0,310.0,3.0,7.7,1017.6,OBS,,,1.0,0.0,,STORLIEN-VISJOVALEN A,SW,022070-99999,2019,9,1.0
868090,99999,2019-10-01,-20.982,-54.972,471.0,118.0,1.1,13.7,1021.0,,,,99.0,9999.0,,SIDROLANDIA,BR,868090-99999,2019,9,1.0
063130,99999,2019-10-01,51.504,3.242,0.0,33.0,3.0,,,,,,,,,VLAKTE VAN RAAN,NL,063130-99999,2019,9,1.0
027380,99999,2019-10-01,63.736,25.706,152.0,57.0,2.0,7.7,1012.4,BKN,,,,,0.0,PYHAJARVI OL OJAKYLA,FI,027380-99999,2019,9,1.0
025900,99999,2019-10-01,57.667,18.35,47.0,10.0,5.0,14.0,1007.1,OVC,,,6.0,10.0,,VISBY,SW,025900-99999,2019,9,1.0
480850,99999,2019-10-01,17.583,94.583,3.0,0.0,0.0,25.8,1006.5,OVC,50.0,6.0,12.0,70.0,,GWA,BM,480850-99999,2019,9,1.0
766800,99999,2019-10-01,19.4,-99.183,2303.0,310.0,6.0,14.4,1010.4,OVC,52.0,6.0,6.0,70.0,,MEXICO (CENTRAL)   D.F.,MX,766800-99999,2019,9,1.0
534630,99999,2019-10-01,40.851,111.824,1084.0,330.0,3.0,16.0,,,95.0,,,,,BAITA,CH,534630-99999,2019,9,1.0
866650,99999,2019-10-01,-13.411,-54.752,467.0,216.0,0.9,22.0,1017.1,,,,99.0,9999.0,,NOVA UBIRATA,BR,866650-99999,2019,9,1.0
716720,99999,2019-10-01,44.35,-78.3,216.0,260.0,1.5,23.6,1016.3,,,,,,,PETERBOROUGH TRENT U,CA,716720-99999,2019,9,1.0
