usaf,wban,datetime,latitude,longitude,elevation,windAngle,windSpeed,temperature,seaLvlPressure,cloudCoverage,presentWeatherIndicator,pastWeatherIndicator,precipTime,precipDepth,snowDepth,stationName,countryOrRegion,p_k,year,day,version
599810,99999,2019-09-26,16.833,112.333,5.0,200.0,7.0,29.2,1006.6,SCT,,,,,,XISHA DAO,CH,599810-99999,2019,4,1.0
786372,99999,2019-09-26,14.57,-89.35,965.0,30.0,3.1,26.0,,,,,,,,ESQUIPULAS,GT,786372-99999,2019,4,1.0
943440,99999,2019-09-26,-21.6,138.367,75.0,150.0,3.1,15.0,1022.3,,,,,,,URANDANGI AERODROME,AS,943440-99999,2019,4,1.0
118160,99999,2019-09-26,48.2,17.2,134.0,330.0,3.0,18.9,1020.1,FEW,,,6.0,0.0,,M R STEFANIK,LO,118160-99999,2019,4,1.0
118160,99999,2019-09-26,48.17,17.213,133.0,330.0,2.6,19.0,,,,,,,,M R STEFANIK,LO,118160-99999,2019,4,1.0
338810,99999,2019-09-26,46.483,28.283,156.0,360.0,2.0,17.9,1017.9,FEW,,,,,,LEOVA,MD,338810-99999,2019,4,1.0
716320,99999,2019-09-26,56.85,-101.067,354.0,300.0,6.2,13.0,1007.0,,,,24.0,31.0,,LYNN LAKE RCS,CA,716320-99999,2019,4,1.0
722310,12916,2019-09-26,29.983,-90.25,9.0,290.0,2.6,31.1,1014.6,BKN,,,6.0,0.0,,LOUIS ARMSTRONG NEW ORLEANS INTL AP,US,722310-12916,2019,4,1.0
655360,99999,2019-09-26,9.417,-5.617,381.0,200.0,2.1,26.4,1011.0,FEW,,,,,,KORHOGO,IV,655360-99999,2019,4,1.0
110370,99999,2019-09-26,48.2,16.567,153.0,320.0,2.0,15.8,1020.6,,,,6.0,0.0,,GROSSENZERSDORF,AU,110370-99999,2019,4,1.0
945956,99999,2019-09-26,-21.715,122.229,296.0,120.0,5.1,17.0,,CLR,,,,,,TELFER,AS,945956-99999,2019,4,1.0
518110,99999,2019-09-26,38.433,77.267,1232.0,200.0,5.0,18.7,1004.2,,,,24.0,13.0,,SHACHE,CH,518110-99999,2019,4,1.0
962530,99999,2019-09-26,-3.883,102.333,16.0,0.0,0.0,25.6,1012.0,BKN,5.0,2.0,,,,FATMAWATI SOEKARNO,ID,962530-99999,2019,4,1.0
419360,99999,2019-09-26,23.183,89.167,6.0,130.0,1.5,27.2,999.1,BKN,5.0,2.0,24.0,0.0,,JESSORE,BG,419360-99999,2019,4,1.0
619980,99999,2019-09-26,-49.35,70.25,30.0,60.0,4.6,3.6,973.4,,,,6.0,6.0,,PORT-AUX-FRANCAIS (ILES KERGUELEN),FS,619980-99999,2019,4,1.0
827910,99999,2019-09-26,-7.017,-37.267,249.0,50.0,1.5,24.8,1014.0,OVC,2.0,6.0,6.0,30.0,,PATOS,BR,827910-99999,2019,4,1.0
